,name,timestamp,status,vibration_frequency,vibration_amplitude,bearing_temperature,motor_temperature,belt_load,torque,noise_levels,current_and_voltage,hydraulic_pressure,belt_thickness,roller_condition
0,Conveyor Belt 4,2025-08-15 00:00:00,Running,1490.82,0.04,77.13,96.902,1.36,318.07,55.12,15.79,382.09,1.58,86.0
1,Conveyor Belt 4,2025-08-15 00:15:00,Running,1498.37,0.04,77.076,96.975,1.07,295.5,59.68,14.34,376.48,1.5795,85.85400000000001
2,Conveyor Belt 4,2025-08-15 00:30:00,Running,1503.22,0.06,77.307,96.755,1.21,314.38,58.2,15.03,384.2,1.57925,85.78100000000002
3,Conveyor Belt 4,2025-08-15 00:45:00,Running,1508.11,0.04,77.474,97.661,1.29,311.84,56.16,15.43,379.79,1.579,85.70800000000003
4,Conveyor Belt 4,2025-08-15 01:00:00,Running,1498.13,0.06,77.785,97.471,1.07,317.14,55.39,14.35,383.95,1.57875,85.63500000000003
5,Conveyor Belt 4,2025-08-15 01:15:00,Running,1494.89,0.05,77.813,97.814,1.33,305.58,62.25,15.65,383.02,1.5785,85.56200000000004
6,Conveyor Belt 4,2025-08-15 01:30:00,Running,1498.2,0.06,77.622,97.464,1.18,285.96,59.25,14.91,383.54,1.578249999999999,85.48900000000005
7,Conveyor Belt 4,2025-08-15 01:45:00,Running,1507.17,0.06,78.487,98.139,1.24,298.84,58.93,15.21,377.37,1.577999999999999,85.41600000000005
8,Conveyor Belt 4,2025-08-15 02:00:00,Running,1507.43,0.06,78.294,97.877,1.07,307.51,61.77,14.36,377.28,1.577749999999999,85.34300000000006
9,Conveyor Belt 4,2025-08-15 02:15:00,Running,1502.35,0.05,78.561,98.96,1.17,308.73,62.23,14.87,377.47,1.577499999999999,85.27000000000007
10,Conveyor Belt 4,2025-08-15 02:30:00,Running,1507.39,0.05,78.848,98.676,1.18,312.55,61.44,14.89,383.94,1.577249999999999,85.19700000000007
11,Conveyor Belt 4,2025-08-15 02:45:00,Running,1504.49,0.05,78.603,99.41,1.32,293.46,63.05,15.58,384.45,1.576999999999999,85.12400000000008
12,Conveyor Belt 4,2025-08-15 03:00:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
13,Conveyor Belt 4,2025-08-15 03:15:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
14,Conveyor Belt 4,2025-08-15 03:30:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
15,Conveyor Belt 4,2025-08-15 03:45:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
16,Conveyor Belt 4,2025-08-15 04:00:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
17,Conveyor Belt 4,2025-08-15 04:15:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
18,Conveyor Belt 4,2025-08-15 04:30:00,Maintenance,1490.0,0.04,60.0,80.0,1.0,280.0,55.0,14.0,375.0,1.576999999999999,85.12400000000008
19,Conveyor Belt 4,2025-08-15 04:45:00,Running,1497.61,0.04,60.039,80.197,1.31,283.41,58.03,15.53,381.71,1.576749999999999,85.05100000000009
20,Conveyor Belt 4,2025-08-15 05:00:00,Running,1502.78,0.05,60.82,80.187,1.24,318.5,58.66,15.21,382.02,1.576499999999999,84.9780000000001
21,Conveyor Belt 4,2025-08-15 05:15:00,Running,1492.64,0.05,60.631,80.033,1.37,308.61,58.19,15.87,383.58,1.576249999999999,84.9050000000001
22,Conveyor Belt 4,2025-08-15 05:30:00,Running,1494.29,0.05,60.636,80.606,1.39,303.8,55.75,15.97,375.78,1.575999999999999,84.83200000000011
23,Conveyor Belt 4,2025-08-15 05:45:00,Running,1502.74,0.05,60.899,80.76,1.06,299.1,60.6,14.29,384.55,1.575749999999999,84.75900000000011
24,Conveyor Belt 4,2025-08-15 06:00:00,Running,1498.91,0.04,61.513,80.798,1.16,286.42,64.25,14.81,379.14,1.575499999999999,84.68600000000012
25,Conveyor Belt 4,2025-08-15 06:15:00,Running,1500.43,0.05,61.767,81.078,1.21,287.82,64.83,15.05,384.57,1.575249999999998,84.61300000000013
26,Conveyor Belt 4,2025-08-15 06:30:00,Running,1492.73,0.06,61.631,81.415,1.07,285.96,57.92,14.33,379.4,1.574999999999998,84.54000000000013
27,Conveyor Belt 4,2025-08-15 06:45:00,Running,1503.17,0.05,62.597,81.563,1.14,315.87,62.16,14.69,378.0,1.574749999999998,84.46700000000014
28,Conveyor Belt 4,2025-08-15 07:00:00,Running,1503.54,0.05,62.565,82.127,1.24,315.21,61.04,15.18,376.93,1.574499999999998,84.39400000000015
29,Conveyor Belt 4,2025-08-15 07:15:00,Running,1499.35,0.05,62.445,81.725,1.12,281.15,61.96,14.6,379.75,1.574249999999998,84.32100000000015
30,Conveyor Belt 4,2025-08-15 07:30:00,Running,1495.89,0.06,63.05,82.251,1.29,287.37,62.94,15.47,382.08,1.573999999999998,84.24800000000016
31,Conveyor Belt 4,2025-08-15 07:45:00,Running,1503.74,0.04,62.924,82.46,1.1,313.67,64.95,14.49,377.86,1.573749999999998,84.17500000000017
32,Conveyor Belt 4,2025-08-15 08:00:00,Running,1491.18,0.05,62.737,83.116,1.1,284.64,64.83,14.49,381.79,1.573499999999998,84.10200000000017
33,Conveyor Belt 4,2025-08-15 08:15:00,Running,1509.18,0.05,63.273,82.627,1.22,304.26,58.49,15.09,376.82,1.573249999999998,84.02900000000018
34,Conveyor Belt 4,2025-08-15 08:30:00,Running,1493.95,0.04,64.012,82.917,1.15,308.74,62.64,14.76,383.19,1.572999999999998,83.95600000000019
35,Conveyor Belt 4,2025-08-15 08:45:00,Running,1494.47,0.06,63.926,83.494,1.38,292.21,55.35,15.88,379.49,1.572749999999998,83.8830000000002
36,Conveyor Belt 4,2025-08-15 09:00:00,Running,1493.22,0.06,64.396,83.138,1.34,313.87,59.02,15.69,377.59,1.572499999999998,83.8100000000002
37,Conveyor Belt 4,2025-08-15 09:15:00,Running,1503.72,0.05,64.518,83.912,1.03,297.8,58.27,14.13,383.91,1.572249999999997,83.73700000000021
38,Conveyor Belt 4,2025-08-15 09:30:00,Running,1505.51,0.05,64.5,84.429,1.07,299.11,58.27,14.35,378.09,1.571999999999997,83.66400000000021
39,Conveyor Belt 4,2025-08-15 09:45:00,Running,1492.6,0.05,64.762,83.739,1.36,282.03,62.16,15.78,378.69,1.571749999999997,83.59100000000022
40,Conveyor Belt 4,2025-08-15 10:00:00,Running,1500.73,0.05,64.781,84.33,1.26,298.4,60.82,15.31,379.78,1.571499999999997,83.51800000000023
41,Conveyor Belt 4,2025-08-15 10:15:00,Running,1500.92,0.04,64.565,84.199,1.16,289.06,55.82,14.78,383.06,1.571249999999997,83.44500000000023
42,Conveyor Belt 4,2025-08-15 10:30:00,Running,1496.76,0.06,65.442,85.319,1.28,293.02,59.74,15.42,381.32,1.570999999999997,83.37200000000024
43,Conveyor Belt 4,2025-08-15 10:45:00,Running,1507.65,0.05,65.764,85.499,1.18,301.36,63.16,14.91,384.12,1.570749999999997,83.29900000000025
44,Conveyor Belt 4,2025-08-15 11:00:00,Running,1506.8,0.05,65.444,85.23,1.39,294.49,64.54,15.96,384.44,1.570499999999997,83.22600000000025
45,Conveyor Belt 4,2025-08-15 11:15:00,Running,1500.1,0.06,65.535,85.066,1.07,295.16,63.05,14.34,384.82,1.570249999999997,83.15300000000026
46,Conveyor Belt 4,2025-08-15 11:30:00,Running,1496.11,0.05,66.163,85.713,1.38,303.99,58.17,15.92,376.43,1.569999999999997,83.08000000000027
47,Conveyor Belt 4,2025-08-15 11:45:00,Running,1497.1,0.04,66.531,86.055,1.01,319.15,60.57,14.03,377.83,1.569749999999997,83.00700000000028
48,Conveyor Belt 4,2025-08-15 12:00:00,Running,1501.79,0.06,66.056,86.438,1.38,311.46,59.18,15.91,383.77,1.569499999999997,82.93400000000028
49,Conveyor Belt 4,2025-08-15 12:15:00,Running,1503.77,0.04,66.892,86.808,1.16,319.71,56.59,14.8,383.99,1.569249999999996,82.86100000000029
50,Conveyor Belt 4,2025-08-15 12:30:00,Running,1508.58,0.06,66.838,86.403,1.23,282.81,60.66,15.17,380.19,1.568999999999996,82.7880000000003
51,Conveyor Belt 4,2025-08-15 12:45:00,Running,1493.63,0.06,67.242,86.332,1.23,283.52,60.38,15.16,384.93,1.568749999999996,82.7150000000003
52,Conveyor Belt 4,2025-08-15 13:00:00,Running,1494.09,0.05,67.409,87.401,1.18,292.61,63.76,14.88,375.12,1.568499999999996,82.64200000000031
53,Conveyor Belt 4,2025-08-15 13:15:00,Running,1499.64,0.06,67.635,87.277,1.1,281.69,59.44,14.49,375.65,1.568249999999996,82.56900000000032
54,Conveyor Belt 4,2025-08-15 13:30:00,Running,1507.24,0.05,67.608,87.434,1.23,317.22,61.02,15.16,375.06,1.567999999999996,82.49600000000032
55,Conveyor Belt 4,2025-08-15 13:45:00,Running,1494.41,0.05,68.421,87.915,1.27,315.24,64.49,15.35,378.02,1.567749999999996,82.42300000000033
56,Conveyor Belt 4,2025-08-15 14:00:00,Running,1494.4,0.06,67.824,88.153,1.4,293.16,62.74,16.0,377.9,1.567499999999996,82.35000000000034
57,Conveyor Belt 4,2025-08-15 14:15:00,Running,1507.02,0.04,67.977,87.928,1.03,292.2,59.75,14.16,379.93,1.567249999999996,82.27700000000034
58,Conveyor Belt 4,2025-08-15 14:30:00,Running,1503.61,0.05,68.576,88.517,1.33,308.15,59.85,15.64,380.17,1.566999999999996,82.20400000000035
59,Conveyor Belt 4,2025-08-15 14:45:00,Running,1498.66,0.05,68.584,88.478,1.05,285.63,56.17,14.23,375.54,1.566749999999996,82.13100000000036
